ticker,issuer,issuer_cik,confidence,buyer_count,total_value,titles,first_date,last_date,max_pct_of_holdings,has_officer,has_10b5_1,same_day_cluster,price_vs_market,new_position,offering_nearby,offering_forms,filing_urls
BIVI,BIOVIE INC.,0001580149,review,4,49118.0,Chief Financial Officer; Chief Medical Officer; Director; President & CEO,2026-08-27,2026-08-28,1.0,True,False,False,varied:2.08-2.18,True,False,,https://www.sec.gov/Archives/edgar/data/1580149/0001520138-26-000378.txt | https://www.sec.gov/Archives/edgar/data/1580149/0001520138-26-000379.txt | https://www.sec.gov/Archives/edgar/data/1580149/0001520138-26-000382.txt | https://www.sec.gov/Archives/edgar/data/1580149/0001520138-26-000383.txt
LILA,Liberty Latin America Ltd.,0001712184,review,2,11008194.27,Director,2026-08-28,2026-09-02,1.0,False,False,False,varied:8.4773-20.9999,True,False,,https://www.sec.gov/Archives/edgar/data/1712184/0000937797-26-000027.txt | https://www.sec.gov/Archives/edgar/data/1724519/0001724519-26-000010.txt
LUCK,Lucky Strike Entertainment Corp,0001840572,review,2,693900.88,Director,2026-08-28,2026-09-01,1.0,False,False,False,varied:6.23-614,True,False,,https://www.sec.gov/Archives/edgar/data/1840572/0001628280-26-059898.txt | https://www.sec.gov/Archives/edgar/data/1840572/0001628280-26-059899.txt
TISI,TEAM INC,0000318833,review,2,518860.0,Chief Financial Officer; Director,2026-08-21,2026-09-03,1.0,True,False,False,varied:22.84-27.59,True,False,,https://www.sec.gov/Archives/edgar/data/1699604/0001699604-26-000010.txt | https://www.sec.gov/Archives/edgar/data/2141866/0002141866-26-000004.txt | https://www.sec.gov/Archives/edgar/data/2141866/0002141866-26-000006.txt
OBIO,"Orchestra BioMed Holdings, Inc.",0001814114,review,2,58560.0,See Remarks,2026-08-26,2026-09-03,1.0,True,False,False,varied:4.79-5.33,True,False,,https://www.sec.gov/Archives/edgar/data/1292834/0001104659-26-105690.txt | https://www.sec.gov/Archives/edgar/data/1814114/0001104659-26-103209.txt
NONE,Sixth Street Lending Partners,0001925309,suspect,5,47970072.3,Director; Vice President,2026-09-01,2026-09-01,0.1135,True,False,True,identical:28.78,False,True,8-K[3.02] 2026-09-04,https://www.sec.gov/Archives/edgar/data/1240367/0001193125-26-381959.txt | https://www.sec.gov/Archives/edgar/data/1767067/0001193125-26-381955.txt | https://www.sec.gov/Archives/edgar/data/1925309/0001193125-26-381956.txt | https://www.sec.gov/Archives/edgar/data/1925309/0001193125-26-381958.txt | https://www.sec.gov/Archives/edgar/data/1925309/0001193125-26-381963.txt
BMRA,BIOMERICA INC,0000073290,suspect,5,158000.0,Chief Executive Officer; Director; Executive Vice Chairman,2026-08-20,2026-08-26,0.6098,True,False,False,identical:1.6,False,True,"8-K[1.01,3.02] 2026-08-26",https://www.sec.gov/Archives/edgar/data/1271102/0001493152-26-040444.txt | https://www.sec.gov/Archives/edgar/data/73290/0001493152-26-040443.txt | https://www.sec.gov/Archives/edgar/data/73290/0001493152-26-040448.txt | https://www.sec.gov/Archives/edgar/data/73290/0001493152-26-040450.txt | https://www.sec.gov/Archives/edgar/data/73290/0001493152-26-040454.txt
QNRX,"Quoin Pharmaceuticals, Ltd.",0001671502,suspect,4,279965.6,Chief Executive Officer; Chief Financial Officer; Chief Operating Officer; Director,2026-08-31,2026-08-31,0.9588,True,False,True,identical:4.88,False,True,"8-K[1.01,3.02] 2026-08-28",https://www.sec.gov/Archives/edgar/data/1693548/0001104659-26-104402.txt | https://www.sec.gov/Archives/edgar/data/1958621/0001104659-26-104405.txt | https://www.sec.gov/Archives/edgar/data/1959547/0001104659-26-104404.txt | https://www.sec.gov/Archives/edgar/data/2084407/0001104659-26-104403.txt
N/A,"Andalusian Credit Company, LLC",0001979306,suspect,3,328467.23,Chief Executive Officer; Director,2026-08-28,2026-08-28,0.1737,True,False,True,identical:15.32,False,True,8-K[3.02] 2026-09-01,https://www.sec.gov/Archives/edgar/data/1979306/0001104659-26-104354.txt | https://www.sec.gov/Archives/edgar/data/1979306/0001104659-26-104355.txt | https://www.sec.gov/Archives/edgar/data/1979306/0001104659-26-104356.txt
MAIR,Madison Air Solutions Corp,0002098430,suspect,2,219556784.28,Director,2026-08-25,2026-08-25,0.5448,False,False,False,varied:24.97-27.84,False,True,"8-K[1.01,3.02] 2026-08-25",https://www.sec.gov/Archives/edgar/data/1137404/0001193125-26-371312.txt | https://www.sec.gov/Archives/edgar/data/1431218/0001628280-26-059013.txt
VRXA,Veraxa Biotech AG - Post de-SPAC,0002079109,suspect,2,82650.0,Chief Executive Officer; Director,2026-08-27,2026-08-27,1.0,True,False,False,varied:1.5-1.53,True,True,424B3 2026-09-04; 424B3 2026-09-04,https://www.sec.gov/Archives/edgar/data/2123284/0001829126-26-009543.txt | https://www.sec.gov/Archives/edgar/data/2129436/0001829126-26-009544.txt
